Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Ratio of Engagement To Post Entered in screen,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%,Lifetime Paid views to 95%,Lifetime Paid views to 95%,Lifetime Organic Video Views,Lifetime Organic Video Views,Lifetime Paid Video Views,Lifetime Paid Video Views,Lifetime Average time video viewed,Lifetime Video length
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)",Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users),Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users),"Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)",Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count),"Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)",,Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users),Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count),Lifetime: The number of people who have given negative feedback to your post. (Unique Users),Lifetime: The number of times people have given negative feedback to your post. (Total Count),Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users),Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users),Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count),Lifetime: Average time video viewed (Total Count),Lifetime: Length of a video post (Total Count)
386724564681370_4826592377361211,https://www.facebook.com/habitatmatthews/posts/4826592377361211,"When picking out those perfect gifts for the holiday season, you can give back by shopping through #AmazonSmile! Select Greater Matthews Habitat as your recipient, and Amazon will donate .05% of your purchase: https://smile.amazon.com/ch/56-1653614",Photo,,,11/29/21 5:40 AM, ,77,77,0,82,82,0,2,2.60,0,0,0,0,67,63,0,0,2,0,0,0,0,0,0,0,0,0,0
386724564681370_4843565372330578,https://www.facebook.com/habitatmatthews/posts/4843565372330578,"Happy Hanukkah to all who celebrate! Wishing you a wonderful 8 nights of love, laugher and light!",Photo,,,11/28/21 2:03 PM, ,149,149,0,157,157,0,6,4.03,0,0,0,0,114,108,0,0,4,0,0,0,0,0,0,0,0,0,0
386724564681370_4826567254030390,https://www.facebook.com/habitatmatthews/posts/4826567254030390,"When picking out those perfect gifts for the holiday season, you can give back by shopping through #AmazonSmile! Select Greater Matthews Habitat as your recipient, and Amazon will donate .05% of your purchase: https://smile.amazon.com/ch/56-1653614",Photo,,,11/27/21 7:31 AM, ,103,103,0,108,108,0,2,1.94,0,0,0,0,89,85,0,0,2,0,0,0,0,0,0,0,0,0,0
386724564681370_4826557457364703,https://www.facebook.com/habitatmatthews/posts/4826557457364703,Online holiday shopping? Don’t forget to use smile.amazon to automatically donate to .05% of your purchase price to your favorite nonprofit (hopefully us!),Photo,,,11/26/21 5:28 AM, ,105,105,0,111,111,0,2,1.90,0,0,0,0,92,87,0,0,2,0,0,0,0,0,0,0,0,0,0
386724564681370_4823602164326899,https://www.facebook.com/habitatmatthews/posts/4823602164326899,Our entire GMHFH team wishes you a wonderful Thanksgiving! Read a short holiday message from our President & CEO: greatermatthewshabitat.org/post/thanksgiving2021,Photo,,,11/25/21 5:03 AM, ,99,99,0,107,107,0,5,5.05,2,2,2,2,87,81,0,0,5,0,0,0,0,0,0,0,0,0,0
386724564681370_4798834360137013,https://www.facebook.com/habitatmatthews/posts/4798834360137013,"Just a reminder that our offices will be closed Wednesday, Thursday, and Friday this week to give our staff and volunteers the opportunity to enjoy the Thanksgiving holiday with their family and friends.",Photo,,,11/23/21 9:37 AM, ,102,102,0,108,108,0,2,1.96,0,0,0,0,86,82,0,0,2,0,0,0,0,0,0,0,0,0,0
386724564681370_4826553244031791,https://www.facebook.com/habitatmatthews/posts/4826553244031791,"Our favorite kind of #TransformationTuesday is the one that makes life better for the Greater Matthews families we serve by improving the places they call home. Last summer, our Critical Home Repair team replaced the rotten beams and broken concrete blocking both the front and side entrances to Willie's home - clear safety hazards in the only ways to enter and exit her house. Now Willie can move in and out without worrying about injury to herself or her guests. Read more about Willie's repair: https://www.greatermatthewshabitat.org/post/willies-home",Video,,,11/23/21 7:02 AM, ,73,73,0,90,90,0,3,4.11,1,1,0,0,69,54,0,0,3,10,11,0,0,31,36,0,0,5344,11100
386724564681370_4785153648171751,https://www.facebook.com/habitatmatthews/posts/4785153648171751,Never reach out your hand unless you're willing to extend an arm. -Pope Paul VI,Photo,,,11/22/21 6:06 AM, ,81,81,0,87,87,0,2,2.47,0,0,0,0,68,64,0,0,2,0,0,0,0,0,0,0,0,0,0
386724564681370_4784501491570300,https://www.facebook.com/habitatmatthews/posts/4784501491570300,Donating your motorcycle is simple and free. 😁 Learn more about vehicle donations: https://bit.ly/3jcfei4 #CarsForHomes,Photo,,,11/21/21 8:38 AM, ,110,110,0,117,117,0,3,2.73,0,0,0,0,96,92,0,0,3,0,0,0,0,0,0,0,0,0,0
386724564681370_4820093121344470,https://www.facebook.com/habitatmatthews/posts/4820093121344470,"Building a community where everyone has access to a decent, safe place to call home starts with you. Whether its your time, your talents, your dollars, or your things- what will you give?",Support Post,,,11/21/21 6:45 AM, ,154,154,0,164,164,0,4,2.60,2,2,0,0,145,137,0,0,4,0,0,0,0,0,0,0,0,0,0
386724564681370_4801616373192145,https://www.facebook.com/habitatmatthews/posts/4801616373192145,"Through our collective effort in New Homeownership, Critical Home Repair, & Affordable Mortgage Servicing 280 members of our community felt the safety and security that only a home can bring.   Wondering what else you accomplished? Read the full report here: greatermatthewshabitat.org/impactreport2021",Video,,,11/17/21 7:07 AM, ,62,62,0,75,75,0,3,4.84,2,2,0,0,55,44,0,0,3,8,8,0,0,19,21,0,0,5930,12000
386724564681370_4803354826351633,https://www.facebook.com/habitatmatthews/posts/4803354826351633,#GivingTuesday - the international day of generosity - is only two weeks away! We all have a gift to give - we just have to open the door and unleash our generosity.,Support Post,,,11/16/21 5:51 AM, ,287,214,84,320,223,97,7,2.44,7,10,0,0,261,233,67,54,6,0,0,0,0,0,0,0,0,0,0
386724564681370_4785133361507113,https://www.facebook.com/habitatmatthews/posts/4785133361507113,"Trust yourself, you know more than you think you do. - Benjamin Spock",Photo,,,11/15/21 6:56 AM, ,115,115,0,123,123,0,2,1.74,0,0,0,0,99,93,0,0,2,0,0,0,0,0,0,0,0,0,0
386724564681370_4784492001571249,https://www.facebook.com/habitatmatthews/posts/4784492001571249,"#DidYouKnow tomorrow is America Recycles Day? ♻  Recycling cars keeps a huge amount of steel out of landfills – enough to build nearly 45,000 steel-framed homes every year. The energy saved each year is enough to power approximately 18 million homes!   Learn how your vehicle donations help fund our mission to build strength, stability and self-reliance through shelter:  https://bit.ly/35jq3Kn  #CarsForHomes",Photo,,,11/14/21 2:57 PM, ,114,114,0,122,122,0,1,0.88,0,0,0,0,96,92,0,0,1,0,0,0,0,0,0,0,0,0,0
386724564681370_4791770677510048,https://www.facebook.com/habitatmatthews/posts/4791770677510048,"We have a foundation! Our Construction Team has been working diligently the last few weeks with our subcontractors to prepare the build site of Natalie's future home and get it ready for our first-ever Interfaith & Community Build. As we head into the holiday season, keep an eye on our social media to learn about volunteer opportunities and how you can be a part of this build!",Video,,,11/13/21 8:53 AM, ,230,230,0,249,249,0,15,6.52,7,9,0,0,92,79,0,0,11,21,22,0,0,65,74,0,0,6868,23290
386724564681370_4790717934281989,https://www.facebook.com/habitatmatthews/posts/4790717934281989,"Santa’s elves visited us early this ye - wait, those aren’t elves! It’s members of our Greater Matthews Habitat for Humanity ReStore team and volunteers decorating their tree for the Novant Health Matthews Medical Center Festival of Trees! Be sure to check out their beautiful handiwork during the online festivities next Thursday night or by visiting the lobby area during normal hospital hours (We’re right up front - by Chick-fil-A Matthews. 💚♥️ it?Gotta have it? The hospital’s tree auction runs November 18th through December 12th.",Photo,,,11/12/21 5:24 AM, ,1725,1725,0,1791,1791,0,72,4.17,57,86,2,2,299,290,0,0,14,0,0,0,0,0,0,0,0,0,0
386724564681370_4785014298185686,https://www.facebook.com/habitatmatthews/posts/4785014298185686,"To all those who have served and are still serving, we thank you! #VeteransDay",Photo,,,11/11/21 4:59 AM, ,115,115,0,121,121,0,2,1.74,0,0,0,0,99,95,0,0,2,0,0,0,0,0,0,0,0,0,0
386724564681370_4781490921871357,https://www.facebook.com/habitatmatthews/posts/4781490921871357,"With your support, we told our congressional representatives that no one should have to spend more than half of their income on a safe place to call home. Want to know what else you helped accomplish last year? https://www.greatermatthewshabitat.org/impactreport2021",Video,,,11/9/21 9:02 AM, ,65,65,0,72,72,0,3,4.62,2,2,0,0,52,47,0,0,3,8,8,0,0,16,16,0,0,4719,6848
386724564681370_4747462425274207,https://www.facebook.com/habitatmatthews/posts/4747462425274207,"""The reward for work well done is the opportunity to do more."" -Jonas Salk",Photo,,,11/8/21 6:34 AM, ,124,124,0,130,130,0,4,3.23,0,0,0,0,105,101,0,0,4,0,0,0,0,0,0,0,0,0,0
386724564681370_4768515106502272,https://www.facebook.com/habitatmatthews/posts/4768515106502272,"Sondra has been living in her home for 25 years - she knows that having a home she can afford is a blessing, and now, through our Critical Home Repair Program, she can safely remain in her home for years to come.",Link,,,11/5/21 6:22 AM, ,134,134,0,139,139,0,5,3.73,2,3,1,1,114,111,0,0,5,0,0,0,0,0,0,0,0,0,0
386724564681370_4765270870160029,https://www.facebook.com/habitatmatthews/posts/4765270870160029,Happy Diwali to all our friends and neighbors who celebrate!,Video,,,11/4/21 5:41 AM, ,99,99,0,106,106,0,3,3.03,2,2,0,0,81,77,0,0,3,6,6,0,0,29,31,0,0,3508,8967
386724564681370_4759818380705278,https://www.facebook.com/habitatmatthews/posts/4759818380705278,"Have you heard of Furnish for Good? We are incredibly excited to have just signed on as a partner!  They are a local Charlotte nonprofit that connects well-loved home furnishings to underserved communities through an experience of empowerment. Rather than simply donating the items, Furnish for Good curates and showcases them, giving their clients the chance to select their own furnishings and household goods for a small fee.",Link,,,11/3/21 11:46 AM, ,215,215,0,222,222,0,9,4.19,3,4,1,1,193,189,0,0,8,0,0,0,0,0,0,0,0,0,0
386724564681370_4759712907382492,https://www.facebook.com/habitatmatthews/posts/4759712907382492,The shortages are two sides of the same coin. Cities with the most job openings don't have the affordable housing needed by many workers. And areas with cheaper housing don't have the promising labor markets to make them attractive.,Link,,,11/2/21 10:35 AM, ,104,104,0,110,110,0,4,3.85,2,2,0,0,86,83,0,0,4,0,0,0,0,0,0,0,0,0,0
386724564681370_4759110297442753,https://www.facebook.com/habitatmatthews/posts/4759110297442753,"It's election day - make sure you exercise your right to vote! Local elections make a difference in your school quality, public safety, public transit, AND the availability of affordable housing. #Vote #LocalElectionsMatter",Video,,,11/2/21 6:32 AM, ,121,121,0,143,143,0,6,4.96,5,5,0,0,59,45,0,0,4,2,2,0,0,17,20,0,0,2223,11534
386724564681370_4747456901941426,https://www.facebook.com/habitatmatthews/posts/4747456901941426,"""Out of difficulties grow miracles"" -Jean de la Bruyere",Photo,,,11/1/21 7:32 AM, ,107,107,0,113,113,0,3,2.80,0,0,0,0,89,85,0,0,3,0,0,0,0,0,0,0,0,0,0
386724564681370_4746824575337992,https://www.facebook.com/habitatmatthews/posts/4746824575337992,We're wishing everyone a frighteningly fun Halloween!,Photo,,,10/31/21 7:49 AM, ,121,121,0,127,127,0,2,1.65,0,0,0,0,99,96,0,0,2,0,0,0,0,0,0,0,0,0,0
386724564681370_4746791295341320,https://www.facebook.com/habitatmatthews/posts/4746791295341320,"Every gift, no matter the size, helps local families build the foundation to a better future. Thank you to all of our individual donors who contributed to our work last fiscal year. We hope you will keep building with us this year, and beyond.   Wondering what else you accomplished? Check out our 2021 Impact Report at greatermatthewshabitat.org/impactreport2021",Video,,,10/30/21 8:58 AM, ,69,69,0,80,80,0,5,7.25,3,3,0,0,56,47,0,0,4,7,7,0,0,17,19,0,0,4862,10000
386724564681370_4746766802010436,https://www.facebook.com/habitatmatthews/posts/4746766802010436,"We can't do our work alone. Building a community where everyone has access to decent, affordable housing requires many hands and many voices working together. Thank you to our partner's last fiscal year who contributed to our collective vision! Wells Fargo, Matthews United Methodist Church, Matthews Presbyterian Church, Publix Supermarkets  Charities, Truliant Federal Credit Union, Joe Grooms - Sharp Business Systems  McAllister Renovation & Design, The Grace and Hope Foundation, Canopy Housing Foundation, Sharonview Federal Credit Union, and Piedmont Natural Gas    Wondering what else you accomplished? Check out our 2021 Impact Report at greatermatthewshabitat.org/impactreport2021",Video,,,10/29/21 6:24 AM, ,73,73,0,81,81,0,5,6.85,3,3,0,0,55,49,0,0,5,14,16,0,0,14,16,0,0,3863,3008
386724564681370_4744189978934785,https://www.facebook.com/habitatmatthews/posts/4744189978934785,"Volunteers are the 💙💚 of Habitat's mission! Despite all the complications and social distancing with COVID-19 last fiscal year, 152 of you volunteered with us, dedicating over 5,000 hours to ensure that affordable housing remained a priority for our community. Wondering what else you accomplished? Check out our 2021 Impact Report at greatermatthewshabitat.org/impactreport2021",Video,,,10/28/21 10:41 AM, ,62,62,0,67,67,0,6,9.68,4,4,0,0,49,44,0,0,5,17,18,0,0,18,19,0,0,4749,3840
386724564681370_4740997169254066,https://www.facebook.com/habitatmatthews/posts/4740997169254066,"Our President & CEO, Natisha, was just featured on InsideMatthews! Listen, like, and subscribe to Inside Matthews wherever you hear podcasts, or click the link below for this episode: https://directory.libsyn.com/episode/index/id/20880365",Photo,,,10/27/21 12:36 PM, ,261,261,0,267,267,0,15,5.75,6,6,0,0,237,231,0,0,12,0,0,0,0,0,0,0,0,0,0
386724564681370_4740093399344443,https://www.facebook.com/habitatmatthews/posts/4740093399344443,"We are currently accepting applications for our Critical Home Repair Program for residents of the Town of Matthews, NC, Town of Mint Hill, North Carolina, and Mecklenburg County side of Town of Stallings, NC who meet program requirements.  If approved for the program, repairs will be completed at NO COST to the homeowner. Not sure what qualifies as a critical repair is? This post on our blog goes over the types of repairs that may qualify.",Link,,,10/27/21 7:03 AM, ,1586,681,967,2553,737,1816,87,5.49,72,90,1,1,521,284,262,67,14,0,0,0,0,0,0,0,0,0,0
386724564681370_4636660079687776,https://www.facebook.com/habitatmatthews/posts/4636660079687776,"""Nobody made a greater mistake than he who did nothing because he could only do a little."" - Edmund Burke",Photo,,,10/25/21 7:12 AM, ,127,127,0,133,133,0,4,3.15,2,2,1,1,115,109,0,0,4,0,0,0,0,0,0,0,0,0,0
386724564681370_4730343613652755,https://www.facebook.com/habitatmatthews/posts/4730343613652755,Only a few more days left to apply to this  program through Mecklenburg County Government to help reduce your property taxes owed. Applicants must own their home and meet income requirmements at 80% or less of the U.S. Department of Housing and Urban Development limits.,Link,,,10/24/21 5:40 AM, ,82,82,0,85,85,0,0,0.00,0,0,0,0,66,63,0,0,0,0,0,0,0,0,0,0,0,0,0
386724564681370_4725362760817507,https://www.facebook.com/habitatmatthews/posts/4725362760817507,Thank you for being a part of our Greater Matthews Habitat for Humanity community! See the difference your support has made with our 20-21 Impact Report! greatermatthewshabitat.org/impactreport2021,Photo,,,10/23/21 12:25 PM, ,109,109,0,113,113,0,5,4.59,2,2,0,0,97,93,0,0,4,0,0,0,0,0,0,0,0,0,0
386724564681370_4724479700905813,https://www.facebook.com/habitatmatthews/posts/4724479700905813,"Your new kitchen can build big things! By donating your old cabinets, countertops, and appliances to our Deconstruction Program, you are helping raise funds for a local family in need of a decent, affordable place to call home. Best of all - donating is easy! Our professional and skilled Decon Team will safely remove your old items and transport them back to our Greater Matthews Habitat for Humanity ReStore.",Link,,,10/22/21 6:06 AM, ,515,119,403,655,125,530,22,4.27,17,19,0,0,174,126,64,27,4,0,0,0,0,0,0,0,0,0,0
386724564681370_4718796718140778,https://www.facebook.com/habitatmatthews/posts/4718796718140778,We love seeing your donation pics. 📸 Thank you to our donors for making a difference! Learn more about vehicle donations: https://bit.ly/3jcfe  #habitatforhumanity #carsforhomes #nonprofit #donate #car,Photo,,,10/20/21 9:01 AM, ,126,126,0,132,132,0,2,1.59,1,1,0,0,114,108,0,0,1,0,0,0,0,0,0,0,0,0,0
386724564681370_4715331158487334,https://www.facebook.com/habitatmatthews/posts/4715331158487334,"“Habitat works in communities all across this country — urban, suburban and rural — and we are speaking with one voice: Congress must deliver transformative housing investments in the Build Back Better Act,” said Jonathan Reckford, CEO of Habitat for Humanity International. “Housing investments are fundamental to health, economic mobility, and racial equity, and must continue to be a core tenet of the nation’s plan to recover from the COVID-19 pandemic and begin to address decades of disinvestment in safe, decent, and affordable places to live.”  https://www.habitat.org/newsroom/2021/375-habitat-organizations-congressional-leaders-keep-housing-build-back-better-act",Link,,,10/19/21 6:01 AM, ,84,84,0,87,87,0,1,1.19,1,1,0,0,70,67,0,0,1,0,0,0,0,0,0,0,0,0,0
386724564681370_4636651966355254,https://www.facebook.com/habitatmatthews/posts/4636651966355254,"""Let us always meet each other with smile, for smile is the beginning of love."" - Mother Theresa",Photo,,,10/18/21 7:09 AM, ,114,114,0,115,115,0,2,1.75,0,0,0,0,99,98,0,0,2,0,0,0,0,0,0,0,0,0,0
386724564681370_4710289958991454,https://www.facebook.com/habitatmatthews/posts/4710289958991454,Only 2 more weeks to apply for this program through Mecklenburg County Government!,Link,,,10/17/21 12:34 PM, ,141,141,0,142,142,0,3,2.13,2,2,0,0,123,122,0,0,3,0,0,0,0,0,0,0,0,0,0
386724564681370_4706597392694044,https://www.facebook.com/habitatmatthews/posts/4706597392694044,Stop by our booth and say hi if you are out at the Matthews Chamber of Commerce “Fall for Matthews” event today! 🍁🎃,Photo,,,10/16/21 8:31 AM, ,235,235,0,239,239,0,10,4.26,3,3,1,1,219,215,0,0,10,0,0,0,0,0,0,0,0,0,0
386724564681370_4703776372976146,https://www.facebook.com/habitatmatthews/posts/4703776372976146,"Happiest of Birthday wishes to our amazing Marketing and Communications Manager, Kristen ! 🎂🎈🎉🤷‍♀️",Photo,,,10/15/21 10:48 AM, ,417,417,0,418,418,0,32,7.67,14,19,0,0,344,342,0,0,18,0,0,0,0,0,0,0,0,0,0
386724564681370_4703042899716160,https://www.facebook.com/habitatmatthews/posts/4703042899716160,"Come Fall for Matthews tomorrow with the Matthews Chamber of Commerce and support affordable housing at the same time! There's something for everyone! Expect arts & crafts vendors, business vendors, food vendors, a DJ, live music, a sip & stroll, a pumpkin patch, petting zoo, and a children's area. And don't forget to stop by our table to learn more about our work, and how you can support Greater Matthews Habitat! Thank you Matthews Chamber of Commerce for supporting access to safe, decent housing by selecting as us the nonprofit recipient for this year's event!",Photo,,,10/15/21 6:15 AM, ,121,121,0,124,124,0,3,2.48,0,0,0,0,106,104,0,0,3,0,0,0,0,0,0,0,0,0,0
386724564681370_4700431043310679,https://www.facebook.com/habitatmatthews/posts/4700431043310679,"With your support, Natalie and her family can build the foundation for a better future with their Greater Matthews Habitat home.",Support Post,,,10/14/21 11:03 AM, ,279,279,0,281,281,0,7,2.51,5,6,1,1,256,252,0,0,6,0,0,0,0,0,0,0,0,0,0
386724564681370_4696855180334932,https://www.facebook.com/habitatmatthews/posts/4696855180334932,"Does your home in Matthews, Mint Hill, or Stallings have Critical Repair needs that are affecting the health and safety of you or your family? We may be able to help - at no cost to you. Visit gmhfh.org/criticalrepair to learn more and apply.",Video,,,10/13/21 8:13 AM, ,373,373,0,384,384,0,9,2.41,7,7,0,0,75,62,0,0,6,10,10,0,0,36,41,0,0,3309,15189
386724564681370_4693018777385239,https://www.facebook.com/habitatmatthews/posts/4693018777385239,"Are you a limited income, Mecklenburg county homeowner that needs some financial assistance with their home? Mecklenburg County Government is offering HOMES grants for qualified applicants to reduce the amount of taxes due. Visit their site at mecknc.gov/4HOMES for more info.",SharedVideo,,,10/12/21 6:42 AM, ,68,68,0,73,73,0,3,4.41,0,0,0,0,49,46,0,0,2,0,0,0,0,10,10,0,0,0,4967
386724564681370_4636639209689863,https://www.facebook.com/habitatmatthews/posts/4636639209689863,"""Don't judge each day by the harvest you reap, but by the seeds that you plant."" - Robert Louis Stevenson",Photo,,,10/11/21 6:26 AM, ,115,115,0,118,118,0,3,2.61,0,0,0,0,99,98,0,0,3,0,0,0,0,0,0,0,0,0,0
386724564681370_4680828261937624,https://www.facebook.com/habitatmatthews/posts/4680828261937624,We're cleared! Our Construction Team has been busy getting the site prepped and ready for when we start building in a few weeks!,Video,,,10/9/21 9:26 AM, ,135,135,0,149,149,0,16,11.85,12,14,1,1,129,116,0,0,15,39,44,0,0,66,76,0,0,7304,8684
386724564681370_4677361772284273,https://www.facebook.com/habitatmatthews/posts/4677361772284273,"We earned a 2021 Gold Seal of Transparency! This seal denotes a higher level of transparency, including comprehensive details about our finances, Board of Directors, staff, and overall demographics. Learn more about our organization’s impact through our #NonprofitProfile on Candid: https://www.guidestar.org/profile/56-1653614",Video,,,10/8/21 2:02 PM, ,62,62,0,66,66,0,7,11.29,3,4,0,0,48,44,0,0,7,14,14,0,0,17,17,0,0,3504,4967
386724564681370_4674866415867142,https://www.facebook.com/habitatmatthews/posts/4674866415867142,"Every year, we work alongside local families as they achieve homeownership and repair their homes. We work to build stronger communities through our work in creating decent and affordable housing opportunities. This work drives important social and economic outcomes, as stable housing has a tremendous impact on family and community health, improved education outcomes for children, and increased financial stability and opportunity. In addition to these benefits, building and repairing homes also stimulates other sectors of the economy – driving additional spending and creating local jobs.  https://www.greatermatthewshabitat.org/post/beyond-the-house",Link,,,10/7/21 11:28 AM, ,87,87,0,87,87,0,3,3.45,0,0,0,0,73,73,0,0,3,0,0,0,0,0,0,0,0,0,0
386724564681370_4677383625615421,https://www.facebook.com/habitatmatthews/posts/4677383625615421,"Thank you to the Matthews Chamber of Commerce for selecting us as the nonprofit recipient for the proceeds of their #FallForMatthews event! If you haven't added it to your Fall To-Do list yet, be sure to save the date!   (Psst...they still have vendor spots open! Click the link below to grab your spot before it's too late!)",Link,,,10/7/21 6:45 AM, ,177,177,0,180,180,0,10,5.65,5,5,0,0,155,154,0,0,10,0,0,0,0,0,0,0,0,0,0
386724564681370_4671205322899918,https://www.facebook.com/habitatmatthews/posts/4671205322899918,"From Vox:  ""Housing costs and homelessness in America’s cities are so bad that people in growing metro areas now appear more concerned about those issues than Covid-19, public safety, taxes, education, and jobs, according to a new poll by the Manhattan Institute for Policy Research and Echelon Insights""",Link,,,10/6/21 7:09 AM, ,87,87,0,90,90,0,2,2.30,1,1,0,0,73,71,0,0,2,0,0,0,0,0,0,0,0,0,0
386724564681370_4671142549572862,https://www.facebook.com/habitatmatthews/posts/4671142549572862,"Thank you Wells Fargo for helping to build affordable housing in Matthews, NC! #WellsFargoBuilds",Photo,,,10/5/21 6:22 AM, ,128,128,0,134,134,0,6,4.69,1,1,1,1,113,109,0,0,5,0,0,0,0,0,0,0,0,0,0
386724564681370_4637313426289108,https://www.facebook.com/habitatmatthews/posts/4637313426289108,"During #WorldHabitatDay, Habitat for Humanity draws attention to the important role decent housing plays in eliminating barriers to a better, healthier, more financially stable life.",Photo,,,10/4/21 7:49 AM, ,120,120,0,124,124,0,3,2.50,0,0,0,0,105,102,0,0,3,0,0,0,0,0,0,0,0,0,0
386724564681370_4637304702956647,https://www.facebook.com/habitatmatthews/posts/4637304702956647,"Tomorrow is #WorldHabitatDay, where Habitat for Humanity joins the United Nations and organizations around the world in raising awareness and in educating and mobilizing individuals and communities to take action on the current global housing challenge.",Photo,,,10/3/21 10:46 AM, ,90,90,0,94,94,0,2,2.22,0,0,0,0,78,75,0,0,2,0,0,0,0,0,0,0,0,0,0
386724564681370_4637159229637861,https://www.facebook.com/habitatmatthews/posts/4637159229637861,"Through the support of our Critical Home Repair Program, Willie can now safely and easily access the entrance points to her home - and she can once again sit and enjoy the view from her front porch.",Video,,,10/1/21 8:55 AM, ,134,79,60,256,91,165,14,10.45,10,11,1,1,238,117,165,60,13,4,4,3,3,21,22,32,54,8670,89002
386724564681370_4653398974680553,https://www.facebook.com/habitatmatthews/posts/4653398974680553,"Thank you to all who attended our first ever “Interfaith Leadership Breakfast” this morning. What a beautiful morning to come together as ONE with faith, fellowship, and prayer. We are so excited for our upcoming “Interfaith and Community Build!” Please contact us about ways to get involved in this very special build. 🔨🏠❤️",Photo,,,9/29/21 7:52 AM, ,198,198,0,209,209,0,18,9.09,5,5,1,1,179,172,0,0,17,0,0,0,0,0,0,0,0,0,0
386724564681370_4650712888282495,https://www.facebook.com/habitatmatthews/posts/4650712888282495,,Link,,,9/28/21 11:22 AM, ,119,119,0,129,129,0,9,7.56,6,7,1,1,98,92,0,0,8,0,0,0,0,0,0,0,0,0,0
386724564681370_4647672995253151,https://www.facebook.com/habitatmatthews/posts/4647672995253151,"Tomorrow, we're hosting our first-ever Interfaith Build Leadership Breakfast with congregational leaders from many different religious faiths in our community. But you might be wondering, what is an interfaith build? And what makes it different from our normal faith-based builds? You'll find the answers on our blog!",Link,,,9/28/21 7:42 AM, ,187,187,0,219,219,0,7,3.74,3,5,1,1,97,91,0,0,6,0,0,0,0,0,0,0,0,0,0
386724564681370_4647181291968988,https://www.facebook.com/habitatmatthews/posts/4647181291968988,"Congratulations to our President & CEO, Natisha Rivera-Patrick, for being selected as the Matthews Human Services Council’s Nancy Glenn Award recipient! We’re so proud of all the work she has done to make the Greater Matthews community a better, more equitable place for us all to call home!",Photo,,,9/27/21 9:18 AM, ,1643,1643,0,1762,1762,0,309,18.81,143,219,1,1,428,393,0,0,47,0,0,0,0,0,0,0,0,0,0
386724564681370_4636703389683445,https://www.facebook.com/habitatmatthews/posts/4636703389683445,Turn your motorcycle into cash by donating it to Habitat for Humanity and we'll put the proceeds toward affordable housing in your community! Learn more at https://www.greatermatthewshabitat.org/donateacar,Photo,,,9/26/21 2:46 PM, ,118,118,0,126,126,0,3,2.54,0,0,0,0,97,95,0,0,3,0,0,0,0,0,0,0,0,0,0
386724564681370_4641037832583334,https://www.facebook.com/habitatmatthews/posts/4641037832583334,Want to wish Natalie and her family a happy start to their home? You can give them a solid foundation for their future by making your tax-deductible gift today!,Support Post,,,9/25/21 11:44 AM, ,227,227,0,238,238,0,4,1.76,1,1,1,1,209,202,0,0,4,0,0,0,0,0,0,0,0,0,0
386724564681370_4640494512637666,https://www.facebook.com/habitatmatthews/posts/4640494512637666,It happened! Natalie’s home is officially underway with this morning’s beautiful groundbreaking!,Photo,,,9/25/21 8:16 AM, ,314,314,0,327,327,0,20,6.37,4,4,3,3,290,278,0,0,17,0,0,0,0,0,0,0,0,0,0
